territory_id;R;G;B;territory_type;x;y
ter-001446;179;192;170;land;5095.0;1780.13
ter-001447;73;13;218;land;1594.18;592.52
ter-001448;12;91;74;land;4434.49;956.86
ter-001449;79;29;47;land;3912.37;1939.11
ter-001450;9;95;40;land;3177.96;1203.09
ter-001451;103;193;18;land;4575.97;698.54
ter-001452;48;65;218;land;2004.2;1217.43
ter-001453;155;163;225;land;3405.66;970.65
ter-001454;188;30;95;land;1610.38;239.03
ter-001455;158;11;112;land;2317.76;58.11
ter-001456;66;67;186;land;4663.97;494.17
ter-001457;68;87;6;land;923.53;578.83
ter-001458;241;19;240;land;2930.0;1146.0
ter-001459;70;128;180;land;708.81;264.0
ter-001460;195;122;196;land;1790.4;315.69
ter-001461;247;32;29;land;3291.55;358.37
ter-001462;65;242;138;land;1804.34;1266.09
ter-001463;51;48;211;land;1688.46;1151.72
ter-001464;83;73;134;land;4911.34;372.41
ter-001465;59;140;77;land;4642.78;775.75
ter-001466;43;73;242;land;1318.96;678.73
ter-001467;151;82;170;land;1286.11;523.92
ter-001468;165;110;173;land;1056.76;53.14
ter-001469;37;33;21;land;3982.94;479.45
ter-001470;73;173;11;land;3281.1;166.57
ter-001471;176;252;185;land;1039.07;619.71
ter-001472;238;157;4;land;3523.79;369.49
ter-001473;129;231;105;land;3369.38;1466.82
ter-001474;248;24;71;land;3261.1;985.34
ter-001475;132;67;51;land;4402.66;233.26
ter-001476;234;144;254;land;1064.28;164.09
ter-001477;131;153;38;land;1331.4;428.45
ter-001478;91;178;139;land;4675.4;1005.29
ter-001479;230;188;54;land;1996.29;115.73
ter-001480;79;237;226;land;5508.83;1124.33
ter-001481;191;159;207;land;1772.55;199.05
ter-001482;246;87;235;land;2170.56;1267.75
ter-001483;116;68;163;land;36.5;1470.5
ter-001484;138;223;18;land;3972.0;619.88
ter-001485;145;27;167;land;1985.97;89.1
ter-001486;45;74;5;land;3885.57;470.92
ter-001487;70;193;148;land;1797.94;1371.63
ter-001488;73;70;127;land;4205.02;288.79
ter-001489;64;34;177;land;1915.51;1699.59
ter-001490;79;56;171;land;1741.69;1020.54
ter-001491;145;5;157;land;2191.39;6.3
ter-001492;204;230;122;land;4350.91;727.45
ter-001493;134;59;133;land;3036.98;364.12
ter-001494;123;175;21;land;5137.98;1718.64
ter-001495;166;104;191;land;3346.48;148.46
ter-001496;96;150;99;land;3113.08;1211.94
ter-001497;215;187;74;land;4474.86;823.39
ter-001498;44;13;117;land;4078.96;872.54
ter-001499;123;211;40;land;1127.92;249.08
ter-001500;26;14;206;land;2786.3;1086.69
ter-001501;249;41;108;land;993.86;458.92
ter-001502;31;165;147;land;5143.9;1634.43
ter-001503;55;236;117;land;3665.69;528.63
ter-001504;196;149;168;land;3180.7;800.31
ter-001505;158;243;82;land;4694.31;1675.59
ter-001506;86;20;70;land;4483.54;578.59
ter-001507;155;214;143;land;4536.74;560.34
ter-001508;87;49;2;land;4361.7;784.48
ter-001509;23;49;74;land;4257.15;337.73
ter-001510;252;130;158;land;5142.21;1512.36
ter-001511;38;48;133;land;3161.62;1700.55
ter-001512;239;212;72;land;3714.04;855.01
ter-001513;255;94;161;land;4677.77;99.62
ter-001514;94;134;66;land;3761.71;701.56
ter-001515;1;147;124;land;5103.8;1204.69
ter-001516;113;35;204;land;1764.84;1163.24
ter-001517;138;61;160;land;4870.57;309.85
ter-001518;87;82;52;land;3312.6;296.48
ter-001519;95;0;106;land;7.32;1642.87
ter-001520;26;183;75;land;3408.47;362.08
ter-001521;109;121;86;land;2037.24;39.01
ter-001522;174;182;114;land;2321.99;44.79
ter-001523;113;139;28;land;3882.33;806.85
ter-001524;155;136;230;land;4292.23;374.01
ter-001525;35;152;244;land;156.0;1395.0
ter-001526;20;21;158;land;1830.35;1064.59
ter-001527;37;1;210;land;2017.56;1455.82
ter-001528;207;29;163;land;1381.73;517.54
ter-001529;167;58;121;land;2969.8;1095.02
ter-001530;0;249;75;land;4622.72;712.73
ter-001531;1;203;147;land;3469.63;1094.28
ter-001532;6;197;189;land;2232.37;148.46
ter-001533;131;13;166;land;3018.65;113.46
ter-001534;234;26;7;land;1941.34;1090.74
ter-001535;186;212;247;land;4668.89;302.58
ter-001536;70;122;173;land;1058.89;310.38
ter-001537;205;11;65;land;4399.88;344.68
ter-001538;124;7;59;land;4521.53;1145.41
ter-001539;217;103;192;land;1472.12;28.66
ter-001540;77;111;67;land;1063.16;699.45
ter-001541;242;247;0;land;4642.02;1133.59
ter-001542;15;182;119;land;2759.02;825.12
ter-001543;201;188;198;land;4573.79;811.38
ter-001544;118;181;54;land;1436.55;316.53
ter-001545;39;60;90;land;4947.57;1364.86
ter-001546;136;70;146;land;1095.24;60.19
ter-001547;178;3;209;land;3973.65;375.1
ter-001548;225;45;225;land;1580.12;1222.93
ter-001549;189;169;66;land;2663.4;815.49
ter-001550;255;215;197;land;3332.68;1010.19
ter-001551;251;134;235;land;4600.0;671.38
ter-001552;26;210;136;land;5232.2;191.32
ter-001553;29;151;0;land;969.32;505.32
ter-001554;180;245;75;land;3513.23;107.3
ter-001555;250;162;180;land;1819.87;1562.95
ter-001556;182;56;140;land;1719.7;263.86
ter-001557;106;249;42;land;1901.89;1057.85
ter-001558;113;71;112;land;1667.0;812.5
ter-001559;76;177;79;land;5009.9;1466.39
ter-001560;214;96;163;land;803.43;194.79
ter-001561;56;121;191;land;5091.38;1286.66
ter-001562;18;21;97;land;3784.18;160.38
ter-001563;224;92;136;land;1724.0;518.73
ter-001564;43;66;218;land;3213.89;165.6
ter-001565;52;116;192;land;3185.84;1178.72
ter-001566;124;201;44;land;3387.26;1218.4
ter-001567;33;179;127;land;4556.77;562.39
ter-001568;65;87;121;land;1715.29;1959.3
ter-001569;167;65;209;land;4431.38;1190.76
ter-001570;199;93;41;land;1216.54;826.28
ter-001571;118;97;234;land;3217.61;815.36
ter-001572;55;81;160;land;1549.38;871.23
ter-001573;209;217;134;land;2967.25;438.98
ter-001574;128;86;43;land;4901.58;190.1
ter-001575;102;1;38;land;4044.96;534.13
ter-001576;209;248;164;land;1243.14;657.88
ter-001577;59;18;94;land;3585.75;784.81
ter-001578;245;68;35;land;1427.54;543.68
ter-001579;74;35;96;land;3783.7;570.61
ter-001580;40;132;170;land;904.88;440.61
ter-001581;116;78;76;land;4278.95;479.22
ter-001582;207;53;111;land;1839.4;1723.93
ter-001583;193;56;37;land;3213.93;414.84
ter-001584;198;213;121;land;3075.03;1588.31
ter-001585;109;171;87;land;2656.8;877.07
ter-001586;253;144;20;land;4442.18;203.06
ter-001587;195;189;246;land;1542.22;30.82
ter-001588;123;230;229;land;3672.22;828.86
ter-001589;123;185;197;land;3248.33;901.11
ter-001590;98;156;111;land;3594.18;364.87
ter-001591;254;43;204;land;4374.46;368.66
ter-001592;8;124;120;land;4728.76;1238.08
ter-001593;198;5;215;land;1732.83;1474.08
ter-001594;220;218;187;land;907.71;581.86
ter-001595;208;117;117;land;4214.98;604.32
ter-001596;38;250;188;land;5073.0;852.5
ter-001597;84;126;137;land;3062.26;580.3
ter-001598;241;228;185;land;1173.96;613.95
ter-001599;126;231;109;land;1314.2;710.67
ter-001600;104;85;12;land;3050.26;1335.22
ter-001601;71;57;1;land;2720.8;655.55
ter-001602;104;253;188;land;3664.17;163.21
ter-001603;213;25;233;land;1827.23;467.91
ter-001604;200;237;154;land;4482.85;425.21
ter-001605;149;216;92;land;831.54;364.99
ter-001606;158;35;148;land;5510.5;1159.0
ter-001607;4;134;11;land;4747.59;184.31
ter-001608;83;99;58;land;4692.06;1598.04
ter-001609;115;83;168;land;4768.37;1201.11
ter-001610;9;61;61;land;1722.36;1351.16
ter-001611;182;15;253;land;1624.25;850.14
ter-001612;62;1;33;land;4400.45;1091.41
ter-001613;152;203;66;land;1790.16;482.95
ter-001614;202;90;141;land;1707.21;1152.55
ter-001615;246;156;42;land;3177.64;1357.52
ter-001616;66;180;105;land;3181.12;945.67
ter-001617;27;126;33;land;3520.52;1136.8
ter-001618;153;231;241;land;5115.25;1744.29
ter-001619;4;234;53;land;1253.5;73.3
ter-001620;196;42;137;land;4762.4;47.52
ter-001621;41;48;228;land;1702.54;1939.19
ter-001622;230;3;108;land;3268.24;361.54
ter-001623;168;173;208;land;3927.0;1276.0
ter-001624;69;70;88;land;4659.46;92.62
ter-001625;90;225;170;land;948.64;642.67
ter-001626;71;78;118;land;372.92;263.07
ter-001627;149;144;98;land;4340.03;402.48
ter-001628;4;185;192;land;3426.1;1234.96
ter-001629;198;12;62;land;2203.86;1335.49
ter-001630;199;11;219;land;4494.84;1216.63
ter-001631;9;108;199;land;1682.54;491.53
ter-001632;66;181;99;land;4939.15;1515.48
ter-001633;16;2;44;land;1048.83;664.66
ter-001634;60;88;7;land;4251.65;565.71
ter-001635;214;68;98;land;1026.03;395.17
ter-001636;32;110;38;land;996.41;103.7
ter-001637;134;35;97;land;1546.71;628.17
ter-001638;77;243;11;land;2694.09;824.61
ter-001639;50;34;249;land;3524.29;516.93
ter-001640;122;193;244;land;2716.02;981.45
ter-001641;3;249;136;land;3494.79;643.38
ter-001642;80;174;128;land;1586.0;1696.17
ter-001643;236;107;250;land;4727.63;1252.28
ter-001644;7;68;204;land;579.93;221.6
ter-001645;129;165;37;land;3235.48;100.65
ter-001646;106;195;156;land;1389.26;308.9
ter-001647;98;209;247;land;1694.0;297.37
ter-001648;89;7;141;land;1191.4;1.6
ter-001649;173;111;155;land;2503.51;168.07
ter-001650;81;128;65;land;5434.42;86.9
ter-001651;58;5;209;land;4961.64;630.92
ter-001652;191;27;4;land;3616.64;799.54
ter-001653;122;66;253;land;5626.73;1521.42
ter-001654;204;22;14;land;3446.79;623.62
ter-001655;67;219;241;land;1343.11;676.15
ter-001656;218;138;219;land;4229.72;540.54
ter-001657;229;151;20;land;2628.87;1022.01
ter-001658;253;106;102;land;3670.38;39.31
ter-001659;150;192;86;land;5613.6;362.7
ter-001660;111;168;198;land;3271.23;577.46
ter-001661;79;90;6;land;1458.84;418.29
ter-001662;146;6;1;land;2936.24;247.43
ter-001663;214;164;140;land;132.36;163.29
ter-001664;50;234;12;land;5384.26;100.59
ter-001665;54;10;3;land;4226.11;677.69
ter-001666;50;51;156;land;2485.34;3.77
ter-001667;208;121;13;land;3962.91;860.61
ter-001668;225;174;77;land;2609.73;920.54
ter-001669;131;101;213;land;653.0;1465.0
ter-001670;237;175;46;land;5293.5;1663.5
ter-001671;250;65;117;land;1416.35;561.18
ter-001672;158;237;85;land;3406.28;476.34
ter-001673;169;65;183;land;4576.61;86.43
ter-001674;182;8;63;land;3519.13;962.88
ter-001675;4;95;12;land;3652.62;35.78
ter-001676;31;119;85;land;2829.35;1021.5
ter-001677;66;194;9;land;3819.77;345.14
ter-001678;14;181;87;land;4992.48;1705.31
ter-001679;220;106;180;land;4949.12;423.07
ter-001680;129;11;33;land;1087.19;676.8
ter-001681;80;179;60;land;380.83;196.88
ter-001682;166;211;25;land;3475.12;158.16
ter-001683;240;35;8;land;1058.39;413.71
ter-001684;7;248;27;land;1752.81;233.04
ter-001685;246;113;29;land;5.01;1970.03
ter-001686;236;66;163;land;4044.24;155.11
ter-001687;226;172;20;land;4.9;1534.05
ter-001688;228;95;79;land;3180.51;493.92
ter-001689;150;204;168;land;5186.37;1623.89
ter-001690;204;56;36;land;3522.81;154.43
ter-001691;147;194;132;land;1883.74;1633.25
ter-001692;151;13;196;land;1968.2;56.55
ter-001693;16;125;205;land;2832.52;834.63
ter-001694;43;149;208;land;1229.93;889.18
ter-001695;90;31;142;land;4416.37;615.39
ter-001696;63;190;226;land;721.74;212.69
ter-001697;197;196;91;land;3990.67;352.66
ter-001698;66;169;55;land;1344.1;221.47
ter-001699;152;53;41;land;4476.2;198.1
ter-001700;0;22;219;land;3646.68;623.69
ter-001701;232;102;24;land;995.16;435.54
ter-001702;76;172;49;land;1672.44;1039.29
ter-001703;199;233;100;land;4919.1;1571.42
ter-001704;3;135;119;land;1262.66;738.46
ter-001705;141;108;224;land;4755.78;208.34
ter-001706;68;0;241;land;3917.46;750.96
ter-001707;170;221;42;land;4520.25;548.65
ter-001708;21;97;63;land;4822.0;1216.93
ter-001709;168;18;27;land;3051.73;1078.95
ter-001710;200;162;244;land;274.5;1379.0
ter-001711;101;58;224;land;4920.49;213.78
ter-001712;113;120;96;land;2988.38;382.68
ter-001713;50;74;106;land;3731.61;273.52
ter-001714;247;82;24;land;935.04;22.61
ter-001715;31;116;244;land;5017.19;1437.65
ter-001716;192;94;17;land;4.96;1909.61
ter-001717;34;42;186;land;3885.67;56.44
ter-001718;177;137;174;land;4688.81;1568.71
ter-001719;241;165;230;land;5317.68;303.79
ter-001720;129;67;6;land;3310.52;259.06
ter-001721;251;93;149;land;5411.74;172.67
ter-001722;240;80;12;land;1338.17;610.05
ter-001723;193;40;145;land;3267.13;148.8
ter-001724;217;195;8;land;4277.77;437.82
ter-001725;72;42;184;land;3045.11;1253.83
ter-001726;76;97;107;land;3298.59;822.97
ter-001727;135;55;246;land;1172.91;594.19
ter-001728;36;196;77;land;879.73;215.51
ter-001729;196;7;91;land;5078.16;1470.33
ter-001730;117;169;253;land;4652.6;310.15
ter-001731;142;61;88;land;3097.9;1036.39
ter-001732;232;17;174;land;1993.31;61.9
ter-001733;37;34;37;land;4933.9;1375.63
ter-001734;51;92;184;land;5076.15;1819.28
ter-001735;189;158;247;land;1947.1;1307.44
ter-001736;97;31;123;land;4863.02;210.86
ter-001737;179;177;241;land;266.08;105.42
ter-001738;253;209;230;land;1028.05;315.66
ter-001739;27;98;216;land;3316.44;1502.08
ter-001740;100;104;37;land;4638.5;1314.0
ter-001741;87;251;87;land;1496.38;570.69
ter-001742;232;200;137;land;3011.92;672.81
ter-001743;195;105;72;land;5306.93;343.67
ter-001744;33;78;49;land;5625.26;1582.5
ter-001745;17;176;169;land;1725.71;986.96
ter-001746;86;238;186;land;4808.07;349.21
ter-001747;178;21;19;land;3379.38;1198.35
ter-001748;66;182;175;land;3272.24;1498.18
ter-001749;80;207;115;land;3219.55;1447.8
ter-001750;92;171;121;land;1715.91;1105.23
ter-001751;221;143;1;land;2113.69;1442.29
ter-001752;96;181;156;land;1905.63;1299.27
ter-001753;201;54;167;land;1619.0;567.7
ter-001754;49;194;153;land;5.44;1664.67
ter-001755;105;54;145;land;5521.75;1825.47
ter-001756;182;210;31;land;3348.71;131.97
ter-001757;124;12;169;land;4639.03;1081.51
ter-001758;63;11;193;land;3531.99;822.62
ter-001759;138;125;66;land;1376.38;450.73
ter-001760;102;67;193;land;1480.25;345.67
ter-001761;53;15;198;land;2703.04;673.68
ter-001762;21;150;132;land;3165.81;554.46
ter-001763;195;166;37;land;4240.34;397.92
ter-001764;201;88;66;land;927.89;526.98
ter-001765;0;209;141;land;4676.82;1306.41
ter-001766;77;44;161;land;1647.77;1350.51
ter-001767;179;133;244;land;3163.22;1019.39
ter-001768;218;17;195;land;4366.05;291.1
ter-001769;151;32;246;land;79.5;61.0
ter-001770;190;132;104;land;1548.14;179.91
ter-001771;111;200;167;land;5504.24;145.73
ter-001772;115;38;130;land;5310.25;1352.8
ter-001773;39;110;24;land;3323.96;1099.89
ter-001774;159;115;180;land;3458.88;402.49
ter-001775;158;123;86;land;3661.99;127.61
ter-001776;32;15;51;land;2082.21;166.49
ter-001777;136;174;169;land;4.44;1738.15
ter-001778;213;64;107;land;520.89;91.71
ter-001779;178;240;31;land;1943.56;4.66
ter-001780;133;211;29;land;4439.56;1163.11
ter-001781;216;78;231;land;1034.31;302.16
ter-001782;186;128;70;land;4999.38;1662.95
ter-001783;146;202;45;land;2228.42;1299.98
ter-001784;228;81;21;land;2560.8;657.4
ter-001785;8;97;159;land;3379.89;241.78
ter-001786;211;91;51;land;346.6;215.53
ter-001787;102;185;224;land;3987.57;612.1
ter-001788;68;180;86;land;4194.68;388.21
ter-001789;232;219;167;land;4019.68;999.4
ter-001790;167;79;180;land;1656.4;1151.55
ter-001791;110;32;255;land;2030.01;57.48
ter-001792;184;47;184;land;1690.78;1252.73
ter-001793;148;196;254;land;4805.69;115.25
ter-001794;15;177;212;land;2743.7;937.74
ter-001795;178;51;54;land;1284.13;782.26
ter-001796;192;133;5;land;4379.84;1090.27
ter-001797;126;200;108;land;1243.78;39.63
ter-001798;158;144;109;land;1611.44;385.44
ter-001799;166;145;124;land;4452.36;1246.17
ter-001800;227;135;188;land;3995.44;687.67
ter-001801;216;164;119;land;1613.79;40.95
ter-001802;59;240;204;land;1321.43;68.25
ter-001803;248;105;165;land;1343.61;547.03
ter-001804;229;30;233;land;5359.41;154.0
ter-001805;229;88;233;land;2762.68;630.89
ter-001806;10;56;146;land;1721.04;1529.02
ter-001807;1;103;81;land;1503.71;974.64
ter-001808;200;199;124;land;3730.89;727.78
ter-001809;239;249;56;land;1765.2;117.72
ter-001810;122;253;99;land;4834.4;70.22
ter-001811;227;79;168;land;3744.0;1428.0
ter-001812;148;214;161;land;1078.34;208.26
ter-001813;116;61;77;land;3147.51;1319.36
ter-001814;205;139;90;land;3424.93;781.64
ter-001815;19;39;160;land;1833.28;1024.01
ter-001816;224;242;13;land;3247.51;186.92
ter-001817;168;198;29;land;1980.33;141.67
ter-001818;160;206;48;land;2703.39;1005.71
ter-001819;63;14;251;land;3619.84;178.08
ter-001820;163;26;191;land;1896.97;337.32
ter-001821;80;220;141;land;1746.3;883.09
ter-001822;71;182;76;land;4496.02;794.48
ter-001823;116;62;65;land;3554.97;1101.26
ter-001824;131;51;19;land;1320.06;643.43
ter-001825;212;131;80;land;4157.56;586.07
ter-001826;160;238;210;land;2074.66;181.62
ter-001827;4;4;38;land;3917.06;724.67
ter-001828;135;188;211;land;1801.44;475.36
ter-001829;216;142;91;land;4212.85;231.15
ter-001830;18;185;221;land;1693.28;393.71
ter-001831;184;235;49;land;1392.36;1171.09
ter-001832;220;53;154;land;2980.29;1150.51
ter-001833;167;67;95;land;2112.49;114.53
ter-001834;93;189;114;land;3981.18;136.65
ter-001835;59;101;123;land;4061.05;98.37
ter-001836;129;169;199;land;1505.93;589.52
ter-001837;249;245;57;land;5457.6;229.87
ter-001838;40;25;82;land;4534.02;87.54
ter-001839;118;249;156;land;3821.69;193.08
ter-001840;89;122;224;land;3426.59;325.41
ter-001841;136;109;5;land;4378.7;766.36
ter-001842;166;199;9;land;4309.25;814.03
ter-001843;197;134;165;land;3114.3;1333.7
ter-001844;130;244;243;land;4563.18;625.6
ter-001845;7;128;177;land;3964.65;443.53
ter-001846;228;163;200;land;4497.24;452.49
ter-001847;224;168;86;land;2752.64;960.73
ter-001848;228;14;102;land;1698.18;335.4
ter-001849;54;246;130;land;3289.75;385.6
ter-001850;45;230;198;land;1292.46;554.75
ter-001851;229;46;202;land;1711.25;1771.66
ter-001852;67;93;47;land;389.71;270.73
ter-001853;107;17;31;land;3150.45;131.34
ter-001854;121;234;199;land;4904.83;403.24
ter-001855;247;118;104;land;2585.98;896.38
ter-001856;154;209;239;land;4677.21;464.01
ter-001857;77;150;98;land;2318.91;90.07
ter-001858;114;71;76;land;1662.9;1021.94
ter-001859;47;194;113;land;1470.2;133.54
ter-001860;203;220;128;land;4752.82;1578.41
ter-001861;90;137;173;land;720.65;95.89
ter-001862;156;52;70;land;1193.71;203.22
ter-001863;235;108;252;land;150.5;1344.5
ter-001864;29;165;35;land;4701.8;188.72
ter-001865;251;242;62;land;3750.74;275.86
ter-001866;213;160;143;land;4118.9;605.11
ter-001867;6;183;235;land;1644.33;1959.67
ter-001868;132;20;2;land;3812.33;378.14
ter-001869;31;232;223;land;1086.61;427.98
ter-001870;152;51;202;land;5252.66;136.87
ter-001871;158;107;101;land;4809.05;1556.22
ter-001872;219;226;9;land;388.48;860.81
ter-001873;255;32;213;land;2642.92;1040.23
ter-001874;162;173;112;land;3513.59;1426.22
ter-001875;218;6;142;land;4993.04;241.63
ter-001876;51;203;57;land;1541.33;420.19
ter-001877;118;77;31;land;5074.51;1651.37
ter-001878;244;174;228;land;3602.96;815.88
ter-001879;107;124;122;land;1851.48;271.38
ter-001880;34;183;33;land;3546.85;1425.86
ter-001881;2;237;69;land;755.62;315.83
ter-001882;132;198;94;land;4884.2;1262.34
ter-001883;244;245;104;land;837.78;189.32
ter-001884;16;45;207;land;3405.76;536.45
ter-001885;213;49;142;land;4488.37;479.94
ter-001886;87;37;154;land;5333.84;321.3
ter-001887;188;116;169;land;3996.25;582.23
ter-001888;84;130;205;land;1392.55;457.8
ter-001889;64;215;179;land;2857.4;667.04
ter-001890;248;49;160;land;2688.46;981.79
ter-001891;161;85;207;land;1499.22;691.5
ter-001892;144;87;132;land;4151.72;198.15
ter-001893;0;142;189;land;4725.08;284.75
ter-001894;190;180;95;land;4467.65;665.11
ter-001895;210;86;175;land;1823.53;1012.57
ter-001896;151;180;28;land;5344.67;995.67
ter-001897;171;25;132;land;1455.55;435.26
ter-001898;75;172;38;land;4894.83;125.59
ter-001899;98;234;79;land;286.57;233.38
ter-001900;197;54;37;land;1413.27;297.33
ter-001901;30;182;248;land;2564.0;1001.0
ter-001902;217;125;123;land;3028.31;1490.92
ter-001903;54;130;53;land;567.5;1602.5
ter-001904;8;172;184;land;3773.38;87.51
ter-001905;208;85;152;land;699.92;137.69
ter-001906;109;21;121;land;3405.14;278.73
ter-001907;183;215;40;land;3091.25;1553.14
ter-001908;14;68;18;land;3680.85;775.08
ter-001909;98;122;81;land;3792.22;739.47
ter-001910;210;125;212;land;1259.36;830.52
ter-001911;57;18;33;land;4904.35;1365.02
ter-001912;245;164;4;land;1991.0;1332.7
ter-001913;141;18;66;land;4862.11;1235.56
ter-001914;205;205;153;land;1774.4;1013.8
ter-001915;240;239;20;land;1356.58;562.62
ter-001916;156;192;21;land;1479.28;432.7
ter-001917;174;132;130;land;2035.41;1287.79
ter-001918;62;9;141;land;1746.91;1755.38
ter-001919;116;112;50;land;5090.35;1680.21
ter-001920;172;253;254;land;2711.13;1091.07
ter-001921;123;222;134;land;1935.27;1185.54
ter-001922;161;61;91;land;1542.74;363.32
ter-001923;98;204;239;land;5042.62;352.45
ter-001924;254;125;105;land;1212.57;236.86
ter-001925;54;92;139;land;3623.33;487.57
ter-001926;135;32;214;land;1722.77;1978.85
ter-001927;54;150;31;land;2916.38;1014.78
ter-001928;185;195;59;land;3156.38;1100.6
ter-001929;25;8;111;land;2916.6;770.35
ter-001930;73;224;194;land;3176.95;923.46
ter-001931;255;184;235;land;1337.96;208.82
ter-001932;90;86;113;land;3044.26;1449.8
ter-001933;239;62;38;land;3941.72;78.95
ter-001934;27;27;125;land;4086.53;456.67
ter-001935;181;108;55;land;4806.95;226.87
ter-001936;47;85;56;land;907.05;59.12
ter-001937;63;66;29;land;4423.14;729.04
ter-001938;218;206;226;land;3463.95;1176.82
ter-001939;222;209;8;land;1390.89;1185.67
ter-001940;139;117;201;land;3424.17;771.66
ter-001941;202;128;142;land;1246.59;260.67
ter-001942;120;72;88;land;4878.76;1622.08
ter-001943;21;3;179;land;4568.8;467.83
ter-001944;169;80;80;land;894.09;338.62
ter-001945;232;225;2;land;2982.04;295.4
ter-001946;94;229;137;land;6.32;886.5
ter-001947;76;125;77;land;1461.28;465.73
ter-001948;254;9;149;land;3715.6;355.57
ter-001949;250;190;211;land;4183.7;829.59
ter-001950;93;190;59;land;5624.4;1509.0
ter-001951;240;102;231;land;4710.3;421.25
ter-001952;199;225;161;land;5035.26;105.75
ter-001953;211;40;154;land;4429.24;978.41
ter-001954;229;226;123;land;4608.9;1224.74
ter-001955;146;44;237;land;4050.21;848.27
ter-001956;251;25;104;land;1830.19;1740.61
ter-001957;173;212;180;land;1284.56;136.32
ter-001958;192;21;237;land;1854.78;1623.09
ter-001959;139;104;88;land;3511.01;304.86
ter-001960;79;230;131;land;2710.54;869.35
ter-001961;115;147;198;land;3893.01;667.76
ter-001962;153;37;79;land;3512.38;466.89
ter-001963;47;227;97;land;3752.42;638.56
ter-001964;27;158;251;land;2848.61;702.49
ter-001965;128;35;149;land;2128.71;238.08
ter-001966;141;150;191;land;4732.48;1182.58
ter-001967;174;252;186;land;1162.73;532.94
ter-001968;213;225;145;land;1651.49;560.26
ter-001969;14;121;10;land;913.91;120.53
ter-001970;53;144;96;land;2817.77;930.08
ter-001971;242;145;236;land;5626.08;1260.4
ter-001972;239;194;66;land;3270.93;272.35
ter-001973;57;110;130;land;3997.01;160.2
ter-001974;253;183;170;land;1541.49;499.06
ter-001975;189;176;3;land;1703.25;361.32
ter-001976;130;205;234;land;4855.14;430.18
ter-001977;188;2;38;land;6.67;1434.74
ter-001978;206;238;15;land;2652.68;777.59
ter-001979;241;2;148;land;4073.56;1044.62
ter-001980;230;71;83;land;5619.23;101.25
ter-001981;18;92;122;land;1508.49;32.35
ter-001982;122;208;10;land;3319.65;88.42
ter-001983;90;54;163;land;4692.59;652.87
ter-001984;63;50;195;land;4615.06;1201.63
ter-001985;96;54;34;land;2889.62;221.12
ter-001986;213;43;71;land;5434.5;1085.0
ter-001987;86;68;187;land;1679.5;2015.17
ter-001988;181;175;73;land;3274.94;241.15
ter-001989;187;32;21;land;4259.29;362.4
ter-001990;140;164;194;land;4288.77;788.66
ter-001991;123;206;247;land;4318.64;888.14
ter-001992;17;39;51;land;1753.79;1180.34
ter-001993;82;165;22;land;3872.12;666.19
ter-001994;163;169;216;land;4610.31;1639.09
ter-001995;141;143;38;land;1987.67;424.5
ter-001996;218;187;58;land;4244.64;608.52
ter-001997;201;176;108;land;1832.21;342.19
ter-001998;137;139;75;land;4660.62;251.77
ter-001999;151;148;153;land;1517.15;324.66
ter-002000;60;147;51;land;2737.89;708.31
ter-002001;5;108;56;land;1658.25;1972.33
ter-002002;216;227;36;land;1803.59;242.68
ter-002003;203;75;242;land;2731.6;1084.41
ter-002004;181;163;126;land;2676.39;360.44
ter-002005;79;183;142;land;3626.75;724.64
ter-002006;39;223;162;land;2120.66;144.09
ter-002007;100;194;3;land;4670.98;77.04
ter-002008;172;229;193;land;1927.61;1527.9
ter-002009;231;54;99;land;1449.8;540.26
ter-002010;196;62;193;land;5040.42;144.94
ter-002011;181;191;159;land;2064.03;1199.1
ter-002012;221;60;115;land;1815.11;1608.02
ter-002013;121;69;161;land;6.01;1612.82
ter-002014;97;235;189;land;2648.26;818.23
ter-002015;202;129;115;land;2081.82;1219.89
ter-002016;54;247;169;land;1746.45;1931.86
ter-002017;109;241;21;land;3176.87;1141.59
ter-002018;78;124;35;land;757.09;141.38
ter-002019;78;37;99;land;4835.5;1290.0
ter-002020;10;119;184;land;2399.67;2061.33
ter-002021;193;193;127;land;4017.01;656.76
ter-002022;180;63;191;land;1214.83;216.66
ter-002023;121;22;40;land;5625.34;956.59
ter-002024;61;173;23;land;579.71;1431.29
ter-002025;114;254;254;land;1593.86;1310.1
ter-002026;218;45;6;land;3441.59;255.25
ter-002027;161;2;38;land;3645.5;984.0
ter-002028;144;99;91;land;886.84;29.53
ter-002029;71;204;70;land;2033.29;1170.25
ter-002030;15;101;15;land;3310.59;1290.08
ter-002031;154;98;80;land;4806.36;257.13
ter-002032;97;132;249;land;1086.97;580.9
ter-002033;231;21;35;land;4599.39;527.98
ter-002034;117;13;82;land;964.39;488.51
ter-002035;77;43;80;land;3728.85;138.21
ter-002036;46;249;113;land;4618.4;773.52
ter-002037;214;230;193;land;3581.11;443.26
ter-002038;243;168;81;land;1496.53;316.05
ter-002039;225;158;50;land;3953.5;1043.5
ter-002040;159;176;240;land;1885.51;1415.71
ter-002041;131;148;202;land;5031.93;1716.91
ter-002042;181;136;181;land;4971.32;114.98
ter-002043;107;214;246;land;1570.0;342.93
ter-002044;116;116;103;land;5623.05;1461.99
ter-002045;6;234;154;land;3927.44;580.51
ter-002046;64;108;85;land;3746.43;595.69
